year,round,win1,win2,win3,win4,win5,win6,bonus,sum
2022,1010,9,12,15,25,34,36,3,131
2022,1009,15,23,29,34,40,44,20,185
2022,1008,9,11,30,31,41,44,33,166
2022,1007,8,11,16,19,21,25,40,100
2022,1006,8,11,15,16,17,37,36,104
2022,1005,8,13,18,24,27,29,17,119
2022,1004,7,15,30,37,39,44,18,172
2022,1003,1,4,29,39,43,45,31,161
2022,1002,17,25,33,35,38,45,15,193
2022,1001,6,10,12,14,20,42,15,104
2022,1000,2,8,19,22,32,42,39,125
2022,999,1,3,9,14,18,28,34,73
2022,998,13,17,18,20,42,45,41,155
2022,997,4,7,14,16,24,44,20,109
2022,996,6,11,15,24,32,39,28,127
2021,995,1,4,13,29,38,39,7,124
2021,994,1,3,8,24,27,35,28,98
2021,993,6,14,16,18,24,42,44,120
2021,992,12,20,26,33,44,45,24,180
2021,991,13,18,25,31,33,44,38,164
2021,990,2,4,25,26,36,37,28,130
2021,989,17,18,21,27,29,33,26,145
2021,988,2,13,20,30,31,41,27,137
2021,987,2,4,15,23,29,38,7,111
2021,986,7,10,16,28,41,42,40,144
2021,985,17,21,23,30,34,44,19,169
2021,984,3,10,23,35,36,37,18,144
2021,983,13,23,26,31,35,43,15,171
2021,982,5,7,13,20,21,44,33,110
2021,981,27,36,37,41,43,45,32,229
2021,980,3,13,16,23,24,35,14,114
2021,979,7,11,16,21,27,33,24,115
2021,978,1,7,15,32,34,42,8,131
2021,977,2,9,10,14,22,44,16,101
2021,976,4,12,14,25,35,37,2,127
2021,975,7,8,9,17,22,24,5,87
2021,974,1,2,11,16,39,44,32,113
2021,973,22,26,31,37,41,42,24,199
2021,972,3,6,17,23,37,39,26,125
2021,971,2,6,17,18,21,26,7,90
2021,970,9,11,16,21,28,36,5,121
2021,969,3,9,10,29,40,45,7,136
2021,968,2,5,12,14,24,39,33,96
2021,967,1,6,13,37,38,40,9,135
2021,966,1,21,25,29,34,37,36,147
2021,965,2,13,25,28,29,36,34,133
2021,964,6,21,36,38,39,43,30,183
2021,963,6,12,19,23,34,42,35,136
2021,962,1,18,28,31,34,43,40,155
2021,961,11,20,29,31,33,42,43,166
2021,960,2,18,24,30,32,45,14,151
2021,959,1,14,15,24,40,41,35,135
2021,958,2,9,10,16,35,37,1,109
2021,957,4,15,24,35,36,40,1,154
2021,956,10,11,20,21,25,41,40,128
2021,955,4,9,23,26,29,33,8,124
2021,954,1,9,26,28,30,41,32,135
2021,953,7,9,22,27,37,42,34,144
2021,952,4,12,22,24,33,41,38,136
2021,951,2,12,30,31,39,43,38,157
2021,950,3,4,15,22,28,40,10,112
2021,949,14,21,35,36,40,44,30,190
2021,948,13,18,30,31,38,41,5,171
2021,947,3,8,17,20,27,35,26,110
2021,946,9,18,19,30,34,40,20,150
2021,945,9,10,15,30,33,37,26,134
2021,944,2,13,16,19,32,33,42,115
2020,943,1,8,13,36,44,45,39,147
2020,942,10,12,18,35,42,43,39,160
2020,941,12,14,25,27,39,40,35,157
2020,940,3,15,20,22,24,41,11,125
2020,939,4,11,28,39,42,45,6,169
2020,938,4,8,10,16,31,36,9,105
2020,937,2,10,13,22,29,40,26,116
2020,936,7,11,13,17,18,29,43,95
2020,935,4,10,20,32,38,44,18,148
2020,934,1,3,30,33,36,39,12,142
2020,933,23,27,29,31,36,45,37,191
2020,932,1,6,15,36,37,38,5,133
2020,931,14,15,23,25,35,43,32,155
2020,930,8,21,25,38,39,44,28,175
2020,929,7,9,12,15,19,23,4,85
2020,928,3,4,10,20,28,44,30,109
2020,927,4,15,22,38,41,43,26,163
2020,926,10,16,18,20,25,31,6,120
2020,925,13,24,32,34,39,42,4,184
2020,924,3,11,34,42,43,44,13,177
2020,923,3,17,18,23,36,41,26,138
2020,922,2,6,13,17,27,43,36,108
2020,921,5,7,12,22,28,41,1,115
2020,920,2,3,26,33,34,43,29,141
2020,919,9,14,17,18,42,44,35,144
2020,918,7,11,12,31,33,38,5,132
2020,917,1,3,23,24,27,43,34,121
2020,916,6,21,22,32,35,36,17,152
2020,915,2,6,11,13,22,37,14,91
2020,914,16,19,24,33,42,44,27,178
2020,913,6,14,16,21,27,37,40,121
2020,912,5,8,18,21,22,38,10,112
2020,911,4,5,12,14,32,42,35,109
2020,910,1,11,17,27,35,39,31,130
2020,909,7,24,29,30,34,35,33,159
2020,908,3,16,21,22,23,44,30,129
2020,907,21,27,29,38,40,44,37,199
2020,906,2,5,14,28,31,32,20,112
2020,905,3,4,16,27,38,40,20,128
2020,904,2,6,8,26,43,45,11,130
2020,903,2,15,16,21,22,28,45,104
2020,902,7,19,23,24,36,39,30,148
2020,901,5,18,20,23,30,34,21,130
2020,900,7,13,16,18,35,38,14,127
2020,899,8,19,20,21,33,39,37,140
2020,898,18,21,28,35,37,42,17,181
2020,897,6,7,12,22,26,36,29,109
2020,896,5,12,25,26,38,45,23,151
2020,895,16,26,31,38,39,41,23,191
2020,894,19,32,37,40,41,43,45,212
2020,893,1,15,17,23,25,41,10,122
2020,892,4,9,17,18,26,42,36,116
2019,891,9,13,28,31,39,41,19,161
2019,890,1,4,14,18,29,37,6,103
2019,889,3,13,29,38,39,42,26,164
2019,888,3,7,12,31,34,38,32,125
2019,887,8,14,17,27,36,45,10,147
2019,886,19,23,28,37,42,45,2,194
2019,885,1,3,24,27,39,45,31,139
2019,884,4,14,23,28,37,45,17,151
2019,883,9,18,32,33,37,44,22,173
2019,882,18,34,39,43,44,45,23,223
2019,881,4,18,20,26,27,32,9,127
2019,880,7,17,19,23,24,45,38,135
2019,879,1,4,10,14,15,35,20,79
2019,878,2,6,11,16,25,31,3,91
2019,877,5,17,18,22,23,43,12,128
2019,876,5,16,21,26,34,42,24,144
2019,875,19,22,30,34,39,44,36,188
2019,874,1,15,19,23,28,42,32,128
2019,873,3,5,12,13,33,39,38,105
2019,872,2,4,30,32,33,43,29,144
2019,871,2,6,12,26,30,34,38,110
2019,870,21,25,30,32,40,42,31,190
2019,869,2,6,20,27,37,39,4,131
2019,868,12,17,28,41,43,44,25,185
2019,867,14,17,19,22,24,40,41,136
2019,866,9,15,29,34,37,39,12,163
2019,865,3,15,22,32,33,45,2,150
2019,864,3,7,10,13,25,36,32,94
2019,863,16,21,28,35,39,43,12,182
2019,862,10,34,38,40,42,43,32,207
2019,861,11,17,19,21,22,25,24,115
2019,860,4,8,18,25,27,32,42,114
2019,859,8,22,35,38,39,41,24,183
2019,858,9,13,32,38,39,43,23,174
2019,857,6,10,16,28,34,38,43,132
2019,856,10,24,40,41,43,44,17,202
2019,855,8,15,17,19,43,44,7,146
